question.slug,National, AL   , AK   , AZ   , AR   , CA   , CO   , CT   , DE   , DC   , FL   , GA   , HI   , ID   , IL   , IN   , IA   , KS   , KY   , LA   , ME   , MD   , MA   , MI   , MN   , MS   , MO   , MT   , NE   , NV   , NH   , NJ   , NM   , NY   ,NYC, NC   , ND   , OH   , OK   , OR   , PA   ,Allegheny    , RI   , SC   , SD   , TN   , TX   , UT   , VT   , VA   , WA   , WV   , WI   , WY   
,======, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====,, =====, =====, =====, =====, =====, =====, =======, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====, =====
p_of_children_in_programs_2014,18,13.4,19.4,16.1,13.3,24.9,15,16.9,17.9,35.1,21.9,16.2,25.7,8.1,18.4,11,13.6,14.2,14.8,14.9,17.6,16.2,19.2,12.9,15.2,16,14.1,12.7,17.8,23.5,17.1,16.4,20.5,21.3,28,15,20,15.1,10.6,15.5,16.6,28.2,21.8,13.2,14.3,17.5,17.8,9.6,24.3,14.5,16.6,18.8,13.2,15.4
p_of_children_in_programs_2009,15,15,18,16,12,19,13,18,14,NA,20,17,28,9,16,10,11,13,12,13,15,17,18,12,12,11,12,12,11,16,16,14,17,21,28,12,9,12,12,15,9,NA,17,15,12,13,15,9,20,16,12,13,11,19
p_of_children_in_programs_2004,11,10,21,12,8,12,11,14,16,NA,17,16,35,9,10,10,11,9,7,15,15,10,11,8,8,13,12,14,9,13,18,12,19,15,NA,10,14,7,6,10,9,NA,18,13,16,10,10,5,17,9,8,6,10,16
avg_hr_per_week_in_programs,7.37,9.2,6.1,6.79,6.25,8,7.2,6.73,8.12,8.98,7.71,7.49,7.63,7.6,6.73,7.2,8.17,7.67,6.85,6.78,5.42,6.83,9.01,6.99,6.72,8.11,6.87,6.29,9.64,6.74,7.02,6.58,6.61,7.21,6.74,6.03,6.14,6.49,7.06,8.14,7.47,6.91,6.18,7.22,6.51,7.24,6.83,4.36,7.51,7.31,7.38,7.32,6.67,5.66
avg_day_per_week_in_programs,3.62,3.96,3.55,3.23,3.64,3.81,3.41,3.76,3.5,4.31,3.48,3.56,4.4,3.45,3.36,3.38,3.99,3.51,3.47,3.61,2.58,3.66,3.74,3.4,3.61,4.15,3.47,3.56,3.87,3.54,3.06,3.57,3.63,3.57,3.51,3.59,2.98,3.42,3.15,3.48,3.62,3.49,3.79,3.66,3.94,3.53,3.63,2.58,3.36,3.67,3.42,3.54,3.91,3.77
p_of_children_would_be_enrolled_2014,40.7,40.5,42.6,34.2,44.9,48.6,34.9,43.6,40,65.9,46.1,40.4,37.7,42.1,41.3,31,33.4,31.2,44,38.8,44,36.1,43.8,44,19.7,50.1,31.3,38.1,31,39.1,35.5,35.8,33,49.3,67,39.3,33.8,52.9,39.7,44.4,50.3,69.6,30.1,51.3,31.7,31.1,37.3,47.4,32.8,34.8,36.3,47.9,33.3,45.2
p_of_children_would_be_enrolled_2009,38,36,35,34,44,36,40,33,31,NA,36,32,39,31,44,36,35,31,29,52,37,37,36,35,33,57,32,31,33,38,32,35,40,46,NA,36,25,30,41,37,32,NA,38,46,32,36,51,35,26,34,27,30,31,28
p_of_children_would_be_enrolled_2004,30,29,31,30,33,37,27,22,42,NA,31,26,20,32,28,26,25,23,30,30,43,27,30,27,22,40,29,26,21,38,35,28,42,36,NA,28,37,23,29,23,26,NA,28,41,27,26,30,22,32,29,24,23,22,39
p_of_children_alone_2014,19.6,18.9,23.8,19.3,13.3,18.7,17,18.5,19.3,26,18.9,18.2,17.3,19,19.7,19.7,22.8,18.5,17.9,19,20.1,20.8,20.9,22.9,24.5,17.2,25.4,22.6,22.4,21.7,38,19,20.7,19.7,17,18.9,23.5,22.9,20.1,22.3,17.9,18,17,18,27.1,16.6,18.9,16.5,24.3,18,19.7,19.6,22.3,21.8
p_of_children_alone_2009,26,27,40,22,26,24,31,28,31,NA,25,25,33,29,28,30,32,35,28,23,33,28,26,31,32,25,32,40,36,28,38,28,22,25,23,31,39,30,29,31,26,NA,27,24,37,29,26,28,41,24,31,21,33,38
p_of_children_alone_2004,25,20,20,30,18,22,33,26,20,NA,27,21,15,23,26,24,29,35,19,21,23,25,21,27,35,16,32,24,31,25,23,23,19,27,NA,22,24,28,25,30,26,NA,17,24,28,23,24,23,16,27,31,16,31,21
avg_hr_per_week_alone,7.34,8.11,7.82,5.64,7.73,6.09,7.99,8.11,8.95,6.02,6.4,7.08,9.2,7.04,6.83,6.94,7.33,7.68,7.34,5.7,7.51,9.21,7.62,6.7,8,7.29,7.45,6.42,8.15,8.78,9.43,8.46,7.75,6.5,5.86,7.21,7.39,7.43,6.6,6.48,8.99,2.94,7,9.39,8.15,7.85,7.7,6.46,7.92,7.73,8.34,6.65,7.75,6.82
reason_1_not_enrolling_child,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,The afterschool programs are too expensive,Preference for alternative activities,The afterschool programs are too expensive,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Afterschool programs are not available in their community,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Lack of a safe way for child to get to and come home from afterschool programs,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,The afterschool programs are too expensive,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities,Preference for alternative activities
reason_2_not_enrolling_child,The afterschool programs are too expensive,Afterschool programs would not benefit their child,Lack of a safe way for child to get to and come home from afterschool programs,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,Lack of a safe way for child to get to and come home from afterschool programs,Lack of a safe way for child to get to and come home from afterschool programs,The afterschool programs are too expensive,The quality of care in afterschool programs is not satisfactory,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,Lack of child's enjoyment of programs,Lack of child's enjoyment of programs,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,Preference for alternative activities,The afterschool programs are too expensive,Preference for alternative activities,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs' locations are not convenient,The afterschool programs are too expensive,Lack of a safe way for child to get to and come home from afterschool programs,The afterschool programs are too expensive,Lack of a safe way for child to get to and come home from afterschool programs,Lack of a safe way for child to get to and come home from afterschool programs,Lack of a safe way for child to get to and come home from afterschool programs,The afterschool programs are too expensive,Lack of child's enjoyment of programs,Preference for alternative activities,The afterschool programs are too expensive,Lack of a safe way to get to and come home from afterschool programs,Lack of a safe way to get to and come home from afterschool programs,The afterschool programs are too expensive,Lack of a safe way to get to and come home from afterschool programs,Lack of a safe way for child to get to and come home from afterschool programs,Preference for alternative activities,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,Preference for alternative activities,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,The afterschool programs are too expensive,Lack of child's enjoyment of programs,The afterschool programs are too expensive,The afterschool programs' locations are not convenient
reason_3_not_enrolling_child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of a safe way for child to get to and come home from afterschool programs,,,,,,,,Lack of child's enjoyment of programs,,,,,,,,,,,Lack of child's enjoyment of programs
ans_1_type_activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for physical activity,Homework assistance,"Beverages, snacks and/or meals",Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for reading or writing,Opportunities for physical activity,Opportunities for reading or writing,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for physical activity,Opportunities for physical activity,Opportunities for reading or writing,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Opportunities for physical activity,Homework assistance,Opportunities for physical activity,Opportunities for physical activity
p_for_ans_1_type_activity,80.1,94.1,87.9,77.6,90.6,81.4,87.4,78.3,81.8,95.1,84.7,79.9,93.9,83.6,75.2,83.7,84.4,83,85.6,80.7,89,77.2,84,80.9,90.6,84.2,87.8,92.5,75.8,90.3,95.5,80,89.1,82,86,72.1,83.9,82.1,82,92.9,75.6,88,81.7,84.6,78.7,83.1,81.2,86.1,97.6,86.6,84.5,89.7,93.7,96.6
ans_2_type_activity,Homework assistance,Homework assistance,Homework assistance,Homework assistance,"Beverages, snacks and/or meals",Opportunities for physical activity,Homework assistance,Opportunities for physical activity,STEM,STEM,Homework assistance,"Beverages, snacks and/or meals",Homework assistance,STEM,"Beverages, snacks and/or meals",Homework assistance,Opportunities for physical activity,"Beverages, snacks and/or meals",Homework assistance,"Beverages, snacks and/or meals","Beverages, snacks and/or meals",Homework assistance,STEM,Homework assistance,Opportunities for reading or writing,Transportation,Opportunities for reading or writing,"Beverages, snacks and/or meals",Homework assistance,Homework assistance,Music or art,Opportunities for physical activity,Homework assistance,Homework assistance,Homework assistance,"Beverages, snacks and/or meals",Academic programs/clubs,"Beverages, snacks and/or meals",Opportunities for reading or writing,"Beverages, snacks and/or meals",Homework assistance,Academic programs/clubs,Homework assistance,Opportunities for physical activity,Opportunities for reading or writing,"Beverages, snacks and/or meals",Opportunities for physical activity,Music or art,Opportunities for reading or writing,Homework assistance,Opportunities for reading or writing,"Beverages, snacks and/or meals","Beverages, snacks and/or meals",Opportunities for reading or writing
p_for_ans_2_type_activity,76.6,90.1,70.1,70.3,81.8,79.7,79.6,75.1,79.6,89.5,81.9,79,87,80,75,78.4,79.7,75,79.2,76.9,79.3,66.8,76.9,68.4,83.6,67.1,82,66.3,74,73.3,79.5,76.1,87.5,73.6,81,70.3,55.9,71.8,73,78.2,75,78.1,78.6,84.3,70.1,75.3,79.9,68.8,79.7,76.8,70.3,88.7,70.7,71.6
ans_3_type_activity,Opportunities for reading or writing,Opportunities for reading or writing,Music or art,Opportunities for reading or writing,Homework assistance,Opportunities for reading or writing,"Beverages, snacks and/or meals",Academic programs/clubs,Homework assistance,Homework assistance,Opportunities for reading or writing,Homework assistance,,Opportunities for reading or writing,Homework assistance,Opportunities for reading or writing,"Beverages, snacks and/or meals",Homework assistance,"Beverages, snacks and/or meals",Opportunities for reading or writing,Academic programs/clubs,Opportunities for reading or writing,Opportunities for reading or writing,Opportunities for reading or writing,,Opportunities for physical activity,Homework assistance,Opportunities for reading or writing,"Beverages, snacks and/or meals",Academic programs/clubs,Homework assistance,STEM,Opportunities for reading or writing,STEM,STEM,Homework assistance,Homework assistance,Homework assistance,Homework assistance,Homework assistance,Opportunities for reading and writing,STEM,"Beverages, snacks and/or meals","Beverages, snacks and/or meals",Homework assistance,Homework assistance,"Beverages, snacks and/or meals",Opportunities for reading or writing,"Beverages, snacks and/or meals","Beverages, snacks and/or meals","Beverages, snacks and/or meals",Opportunities for physical activity,Academic programs/clubs,Music or art
p_for_ans_3_type_activity,71.9,87.2,68.7,65,79,75.1,77.3,74.7,78.6,87.9,75.8,77.1,64.2,79.3,73.7,77.5,76.3,64.6,78.1,69.9,63.8,66.8,76.7,66.6,78.6,65.3,79.4,64.4,72.8,69.9,78.7,69.1,81.8,69.7,75,61.8,52.7,67.8,71.5,71.4,73.5,75.5,76.2,82.1,67,73.5,78,67.7,79.2,75.1,66.7,88.3,57,71
