question.slug,African American,Hispanic
,,
p_of_children_in_programs_2014,24,29
p_of_children_in_programs_2009,24,21
p_of_children_in_programs_2004,20,15
avg_hr_per_week_in_programs,7.77,7.39
avg_day_per_week_in_programs,3.89,3.67
p_of_children_would_be_enrolled_2014,60,57
p_of_children_would_be_enrolled_2009,61,47
p_of_children_would_be_enrolled_2004,53,44
p_of_children_alone_2014,18,11
p_of_children_alone_2009,28,21
p_of_children_alone_2004,20,15
avg_hr_per_week_alone,7.26,7.17
reason_1_not_enrolling_child,Preference for alternative activities,Preference for alternative activities
reason_2_not_enrolling_child,Lack of a safe way for child to get to and come home from afterschool programs,The afterschool programs are too expensive
reason_3_not_enrolling_child,The afterschool programs' hours of operation do not meet parents' needs,Lack of a safe way for child to get to and come home from afterschool programs
ans_1_type_activity,Homework assistance,Opportunities for physical activity
p_for_ans_1_type_activity,85,84
ans_2_type_activity,Opportunities for physical activity,Homework assistance
p_for_ans_2_type_activity,82,79
ans_3_type_activity,"Beverages, snacks and/or meals",STEM
p_for_ans_3_type_activity,77,74
p_of_parents_programs_excite_abt_learning,74,73
p_of_parents_programs_help_child_gain_skills,77,73
p_of_parents_programs_reduce_risky,77,78
p_of_parents_support_public_funding_2014,91,87
p_of_parents_support_public_funding_2009,NA,NA
p_of_parents_receive_public_funding,22,26
p_of_parents_satisfied_child_program_2014,92,89
p_of_parents_satisfied_child_program_2009,90,93
p_of_parents_satisfied_child_program_2004,92,88
p_of_parents_satisfied_program_safe,90,87
p_of_parents_satisfied_program_quality_of_care,85,90
ans_1_select_program,Is a safe haven,Quality of care
p_for_ans_1_select_program,84,83
ans_2_select_program,Quality of care,Convenient location
p_for_ans_2_select_program,82,83
ans_3_select_program,Convenient location,Is a safe haven
p_for_ans_3_select_program,82,82
p_of_parents_program_public_school_bldg,72,77
ans_1_program_provider,Afterschool program run by a public school,Afterschool program run by a public school
ans_2_program_provider,Boys & Girls Club afterschool program,YMCA afterschool program
ans_3_program_provider,YMCA afterschool program,Boys & Girls Club afterschool program
avg_dolllars_spent_per_week_program,109.3,112.1
num_households_surveyed_2014,1499,1094
p_of_parents_working_parents_peace,80.0,76.0
p_of_parents_working_parents_keep_jobs,79.0,73.0
is_top_ten,FALSE,FALSE
intro_text,"The need for afterschool programs is especially high in the African-American community. Although participation in an afterschool program is higher among African-American children than the national average, so too is the demand for programs.  Four in 5 African-American parents agree that afterschool programs help provide working parents peace of mind about their children while at work.  Agreement jumps even higher—to 88 percent—among African-American parents with a child in an afterschool program.  To help ensure that students in communities with few opportunities are able to access and afford afterschool programs, more than 9 in 10 African-American parents (91 percent) support public funding for afterschool programs. ","The need for and support of afterschool programs is especially high in the Hispanic community, where participation in afterschool programs, as well as demand for afterschool programs, has seen substantial growth.  More than 3 in 4 Hispanic parents agree that afterschool programs help provide working parents peace of mind about their children while at work and agreement jumps even higher—to 87 percent—among Hispanic parents with a child in an afterschool program.  To help ensure that students  in communities with few opportunities for children and youth are able to access and afford afterschool programs, close to 9 in 10 Hispanic parents (87 percent) support public funding for afterschool programs. "
p_of_parents_agree_should_provide_snacks,77,69
p_of_parents_programs_offers_snacks,77,72
p_of_parents_satisfied_programs_snacks,71,75
p_of_parents_satisfied_healthy_snacks,77,76
p_of_parents_snacks_important,66,63
p_of_parents_healthy_snacks_important,67,66
p_of_parents_agree_should_provide_physical,82,82
p_of_parents_programs_offers_physical,82,84
p_of_parents_satisfied_programs_physical_amount,81,78
p_of_parents_satisfied_programs_physical_variety,81,78
p_of_parents_physical_important,71,71
real_of_children_in_programs_2014,2.4 million,3.8 million
real_of_children_would_be_enrolled_2014,4.5 million,5.5 million
