State,Children in Target Population (All children K-12 in state),,,,Afterschool Program Participation (QS4c/S5)*,,,,,,,,Self Care (QS4c/Q1)*,,,,,,,,Children in Target Population (Non-Participants),,,,Non-Participants Likely to Participate in an Afterschool Program If Available (Q4c),,,,,,,,,
,,,,,Total (QS4c),,K-5 (QS5),,6-8 (QS5),,9-12 (QS5),,Total (QS4c),,K-5 (Q1)**,,6-8 (Q1)**,,9-12 (Q1)**,,,,,,Total,,K-5**,,6-8**,,9-12**,,,
,K-12 Total,K-5,6-8,9-12,%,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%,Count,%,Count,K-12,K-5,6-8,9-12,%,Count,%,Count,%,Count,%,Count,,
 AL   ,783343,362729,186666,233948,13.4%,10496796.2%,18.1%,65653.949,11.6%,21653.256,8.1%,18949.788,18.9%,14805182.7%,1.6%,580366.4%,11.6%,2165325.6%,31.7%,7416151.6%,67837503.8%,297075.051,165012.744,214998.212,40.5%,274741.89039,43.8%,130118.872338,40.1%,66170.110344,36.3%,78044.350956,,
 AK   ,132121,62048,30207,39866,19.4%,2563147.4%,20.3%,12595.744,22.9%,6917.403,18.8%,7494.808,23.8%,3144479.8%,4.9%,304035.2%,32.1%,969644.7%,46.2%,1841809.2%,10648952.6%,49452.256,23289.597,32371.192,42.6%,45364.538076,43.7%,21610.635872,47.7%,11109.137769,35.6%,11524.144352,,
 AZ   ,1109029,522122,256008,330899,16.1%,17855366.9%,21.4%,111734.108,16.6%,42497.328,10.6%,35075.294,19.3%,21404259.7%,2.9%,1514153.8%,8.3%,2124866.4%,37.0%,12243263.0%,93047533.1%,410387.892,213510.672,295823.706,34.2%,318222.563202,32.0%,131324.12544,37.2%,79425.969984,37.0%,109454.77122,,
 AR   ,489523,232201,114803,142519,13.3%,6510655.9%,14.0%,32508.14,14.1%,16187.223,10.8%,15392.052,13.3%,6510655.9%,3.1%,719823.1%,18.1%,2077934.3%,35.6%,5073676.4%,42441644.1%,199692.86,98615.777,127126.948,44.9%,190562.982009,48.6%,97050.72996,45.2%,44574.331204,39.5%,50215.14446,,
 CA   ,6672185,3064743,1507747,2099695,24.9%,166137406.5%,31.1%,953135.073,29.1%,438754.377,14.6%,306555.47,18.7%,124769859.5%,2.5%,7661857.5%,9.0%,13569723.0%,44.3%,93016488.5%,501081093.5%,2111607.927,1068992.623,1793139.53,48.6%,2435254.11441,52.3%,1104370.945821,40.4%,431873.019692,47.2%,846361.85816,,
 CO   ,863857,414040,195763,254054,15.0%,12957855.0%,19.6%,81151.84,13.4%,26232.242,11.0%,27945.94,17.0%,14685569.0%,1.3%,538252.0%,24.7%,4835346.1%,32.5%,8256755.0%,73427845.0%,332888.16,169530.758,226108.06,34.9%,256263.17905,32.6%,108521.54016,53.0%,89851.30174,21.6%,48839.34096,,
 CT   ,589998,261474,136342,192182,16.9%,9970966.2%,20.3%,53079.222,20.5%,27950.11,10.0%,19218.2,18.5%,10914963.0%,0.1%,26147.4%,13.0%,1772446.0%,34.8%,6687933.6%,49028833.8%,208394.778,108391.89,172963.8,43.6%,213765.715368,46.6%,97111.966548,47.6%,51594.53964,33.9%,58634.7282,,
 DE   ,146591,68403,33702,44486,17.9%,2623978.9%,22.0%,15048.66,16.2%,5459.724,14.7%,6539.442,19.3%,2829206.3%,0.0%,0.0%,31.3%,1054872.6%,52.6%,2339963.6%,12035121.1%,53354.34,28242.276,37946.558,40.0%,48140.4844,51.7%,27584.19378,38.7%,10929.760812,18.2%,6906.273556,,
 DC   ,75839,36339,16119,23381,35.1%,2661948.9%,41.0%,14898.99,45.3%,7301.907,21.2%,4956.772,26.0%,1971814.0%,3.2%,116284.8%,21.1%,340110.9%,29.1%,680387.1%,4921951.1%,21440.01,8817.093,18424.228,65.9%,32435.657749,75.7%,16230.08757,71.7%,6321.855681,53.2%,9801.689296,,
