column 1,column 2,,state
State Intro,"Nikki will provide (different for each)
",,Allegheney
,DEMAND – Children in Afterschool,,Allegheney
Card 1,Afterschool program participation in Allegheney County,,Allegheney
"Card 1 Info

New - Card 2
New – Card 2","In 2014, 28% of Allegheney County’s children participate in an afterschool program.

Average time per week children spend in an afterschool program

For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m.",,Allegheney
"
Card 3","
Children in an afterschool program, by gender",,Allegheney
"
Card 4
Card 4 Info","
Average weekly cost of afterschool programs
The average weekly cost only includes parents who report that they pay a fee for their child’s afterschool program.",,Allegheney
"
TEXT CARD","
Most families piece together a variety of afterschool solutions, with 61% of Allegheney County’s K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (14%); sibling care (17%); and non-parental adult care, such as a grandparent or neighbor (35%). 

DEMAND – Unmet Demand for Afterschool Programs",,Allegheney
"Card 1
Card 1 - Info

Card 2","Children who would participate if an afterschool program were available
In 2014, 70% of Allegheney County’s children would participate in an afterschool program if one were available.

Children unsupervised after school",,Allegheney
"Card 2 – Info

Card 3
Card 3 -Info
","In 2014, 18% of Allegheney County’s children are alone and unsupervised between the hours of 3 and 6 p.m. 

Average time per week children spend alone & unsupervised after school
For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m.",,Allegheney
TEXT CARD TITLE,What barriers to afterschool program enrollment are families facing?,,Allegheney
TEXT CARD INFO,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: 
Lack of a safe way for child to get to and come home from afterschool programs
Preference for alternative activities


BENEFITS – Parent Satisfaction with Afterschool Programs",,Allegheney
Card 1,Parents satisfied with their child’s afterschool program,,Allegheney
Card 1 –Info ,"In 2014, 92% of Allegheney County’s parents are satisfied with their child’s afterschool program.",,Allegheney
"
Card 2","
Top 3 factors in parents’ selection of an afterschool program",,Allegheney
Card 2 – Info ,"Is a safe haven
The hours meet my needs
My child enjoys the program",,Allegheney
"
Card 3
Card 3 – Info 


Card 4","
Top 3 activities/services offered by afterschool programs
Opportunities for physical activity
Academic programs/clubs
STEM

Parents satisfied with the safe environment of their child’s afterschool program",,Allegheney
,,,Allegheney
Card 5,Parents satisfied with the quality of care in their child’s afterschool program,,Allegheney
,,,Allegheney
Card 6,Most common afterschool program providers,,Allegheney
"Card 6 – TEXT


Card 6","1. Afterschool program run by public school
2. Boys & Girls Club afterschool program
3. YMCA afterschool program

of afterschool programs are located in a public school building 


SUPPORT – Public Support for Afterschool Programs",,Allegheney
Card 1,Parents agree that afterschool programs excite children about learning,,Allegheney
,,,Allegheney
