"slug","state","answer"
"p_of_children_in_programs_2014","National","18"
"p_of_children_in_programs_2009","National","15"
"p_of_children_in_programs_2004","National","11"
"avg_hr_per_week_in_programs","National","7.37"
"avg_day_per_week_in_programs","National","3.62"
"p_of_children_would_be_enrolled_2014","National","40.7"
"p_of_children_would_be_enrolled_2009","National","38"
"p_of_children_would_be_enrolled_2004","National","30"
"p_of_children_alone_2014","National","19.6"
"p_of_children_alone_2009","National","26"
"p_of_children_alone_2004","National","25"
"avg_hr_per_week_alone","National","7.34"
"reason_1_not_enrolling_child","National","Preference for alternative activities"
"reason_2_not_enrolling_child","National","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","National",""
"ans_1_type_activity","National","Opportunities for physical activity"
"p_for_ans_1_type_activity","National","80.1"
"ans_2_type_activity","National","Homework assistance"
"p_for_ans_2_type_activity","National","76.6"
"ans_3_type_activity","National","Opportunities for reading or writing"
"p_for_ans_3_type_activity","National","71.9"
"ans_4_type_activity","National","Beverages, snacks and/or meals"
"p_for_ans_4_type_activity","National","71.6"
"ans_5_type_activity","National","STEM learning opportunities"
"p_for_ans_5_type_activity","National","68.7"
"p_of_parents_programs_excite_abt_learning","National","64.4"
"p_of_parents_programs_help_child_gain_skills","National","66.6"
"p_of_parents_programs_reduce_risky","National","72.8"
"p_of_parents_support_public_funding_2014","National","84.4"
"p_of_parents_support_public_funding_2009","National","83"
"p_of_parents_receive_public_funding","National","19.8"
"p_of_parents_satisfied_child_program_2014","National","89.1"
"p_of_parents_satisfied_child_program_2009","National","89"
"p_of_parents_satisfied_child_program_2004","National","91"
"p_of_parents_satisfied_program_safe","National","87.7"
"p_of_parents_satisfied_program_quality_of_care","National","87.5"
"ans_1_select_program","National","Is a safe haven"
"p_for_ans_1_select_program","National","80.6"
"ans_2_select_program","National","Quality of care"
"p_for_ans_2_select_program","National","80.6"
"ans_3_select_program","National","My child enjoys the program"
"p_for_ans_3_select_program","National","80.5"
"ans_4_select_program","National","Location is convenient"
"p_for_ans_4_select_program","National","80.1"
"ans_5_select_program","National","Knowledgeable and well-trained staff"
"p_for_ans_5_select_program","National","79.6"
"p_of_parents_program_public_school_bldg","National","72.7"
"ans_1_program_provider","National","Public school"
"ans_2_program_provider","National","Boys & Girls Club"
"ans_3_program_provider","National","YMCA"
"ans_4_program_provider","National",""
"p_of_boys_program","National","51"
"p_of_girls_program","National","49"
"p_of_children_programs_qualify_federal_asst","National","45"
"avg_dolllars_spent_per_week_program","National","113.5"
"num_households_surveyed_2014","National",NA
"num_children_screened_2014","National",NA
"err_margin_households_surveyed_2014","National","1"
"err_margin_children_screened_2014","National","< 1"
