slug,state,place,text
p_of_children_in_programs_,AL,title,Afterschool program participation in Alabama
p_of_children_in_programs_,AL,text,"In 2014, 13% of Alabama's children participate in an afterschool program, compared to 15% in 2009 and 10% in 2004. "
avg_hr_per_week_in_programs,AL,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,AL,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,AL,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,AL,text,"In 2014, 18% of Alabama's children in grades K-5 participate in an afterschool program, compared to 12% in grades 6-8 and 8% in grades 9-12."
p_of_boys_program,AL,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,AL,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,AL,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,AL,text,"Most families piece together a variety of afterschool solutions, with 69% of Alabama's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (7%); sibling care (13%); and non-parental adult care, such as a grandparent or neighbor (29%). "
p_of_children_would_be_enrolled_,AL,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,AL,text,"In 2014, 41% of Alabama's children would participate in an afterschool program if one were available, compared to 36% in 2009 and 29% in 2004."
p_of_children_alone_,AL,title,Children unsupervised after school
p_of_children_alone_,AL,text,"In 2014, 19% of Alabama's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,AL,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,AL,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,AL,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,AL,text,"In 2014, 2% of Alabama's children in grades K-5 were unsupervised after school, compared to 12% in grades 6-8 and 32% in grades 9-12."
just_text_demand_unmet,AL,title,What barriers to afterschool program enrollment are Alabama families facing?
just_text_demand_unmet,AL,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>Afterschool programs would not benefit their child</li></ul>"
p_of_parents_satisfied_child_program_,AL,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,AL,text,"In 2014, 94% of Alabama's parents were satisfied with their child's afterschool program, compared to 93% in 2009 and 90% in 2004."
ans_1_select_program,AL,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,AL,text,<ul><li>Location is convenient</li><li>The hours meet parents' needs</li><li>Quality of care</li><li>Their child enjoys the afterschool program</li><li>Is a safe haven</li></ul>
ans_1_type_activity,AL,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,AL,text,"<ul><li>Opportunities for physical activity</li><li>Homework assistance</li><li>Opportunities for reading or writing</li><li>Beverages, snacks and/or meals</li><li>STEM learning opportunities</li></ul>"
p_of_parents_satisfied_program_safe,AL,title,Parents satisfied with the safe environment of their child's afterschool program
